Puzzle	Solution
2100300140000230	2143342143121234
0010120030040430	4312124331242431
3104000102030010	3124243112434312
2301000001033004	2341143241233214
0400012400400012	2431312412434312
0300040130100120	1342243132144123
0210304004000320	4213314224311324
3042401010000400	3142421313242431
1004000243210000	1234341243212143
1300400030420010	1324423131422413
0142040000200201	3142241313244231
0210100003014030	3214142323414132
0004340021000320	1234341221434321
0001004300320304	3421124341322314
0040400001042013	1342423131242413
0102304024000300	4132324124131324
0200000303144100	3241142323144132
0301200002030410	4321213412433412
4001002000130340	4231312424131342
0040342101040000	1243342121344312
3014400300410000	3214412323411432
0402100040210004	3412124343212134
0001300203200403	4231314213242413
0401030000200213	2431134231244213
2401004000203010	2431134241233214
0000340000121043	2134342143121243
0120420000002013	3124423113422413
1430200101003000	1432234141233214
0140203010000013	3142243113244213
0040020300011304	3142421324311324
2000040230144000	2341143232144123
0010030002300142	2413132442313142
4320020001400003	4321123431422413
0310213002000003	4312213432411423
0030004140103004	1432234142133124
1300040301200200	1342241331244231
4000000334022030	4321124334122134
0401003021030002	3421123421434312
0240142040000030	3241142343122134
0204000304002301	3214412314322341
0000002142130002	2134342142131342
3200040000202340	3214143241232341
0001300010232004	4231314214232314
0204002100130100	1234432124133142
3201000020304300	3241142321344312
0004020000102143	1324423134122143
1040401300000120	1342421324313124
1032000001004203	1432234131244213
0200310404301000	4213312424311342
2340002030001002	2341412332141432
4031102034000000	4231132434122143
0200034000242010	4231134231242413
2013010000024030	2413312413424231
0240000120043010	1243432121343412
0402300103104000	1432324123144123
0310100020300104	4312124324313124
0200300400400431	4213312413422431
0420020100320010	1423324141322314
4001310200100300	4231314224131324
2001402030100004	2341412334121234
0000001212033001	2134431212433421
0030002102404300	2134342112434312
4002024004010030	4312124334212134
2014010204000003	2314413234211243
1420300040020001	1423321441322341
0300004032100032	4321214332141432
1020230000003204	1423234141323214
3002023000414000	3412123423414123
0030204104030004	4132234114233214
0003321000410100	1423321423414132
